local_name,state_name,average_score,lat,lon
 Hamilton, NY,4.425,46.2527,-114.1598
 Hamilton, OH,2.3,46.2527,-114.1598
 Hamilton, ON,2.816666667,46.2527,-114.1598
 Hammond, IN,3.54,41.617,-87.4908
 Hammond, LA,4.265217391,41.617,-87.4908
 Hampton, VA,4.466666667,33.3836,-84.2855
 Hanover, IN,4.4,39.8117,-76.9835
 Hanover, NH,5,39.8117,-76.9835
 Harriman, TN,3.75,35.9306,-84.5603
 Harrisburg, PA,3.5,37.7373,-88.5457
 Harrisonburg, VA,4.078571429,38.4362,-78.8735
 Hartford, CT,3.681818182,43.621,-96.9424
 Hartsville, SC,4.5,34.3679,-80.0829
 Hattiesburg, MS,4.15,31.3072,-89.3168
 Haverhill, MA,4.366666667,42.7838,-71.0871
 Hays, KS,3.2,38.8814,-99.3217
 Hayward, CA,4.127777778,37.6328,-122.0772
 Hazleton, PA,4.8,40.9504,-75.9724
 Helena, MT,4.8,46.5964,-112.0197
 Hempstead, NY,3.706666667,40.7043,-73.6193
 Henderson, KY,4.8,37.8405,-87.5788
 Henderson, NC,4.4,37.8405,-87.5788
 Henderson, NV,3.7625,37.8405,-87.5788
 Hialeah, FL,3,25.8696,-80.3045
 Hickory, NC,1.5,35.7427,-81.3233
 High Point, NC,3.688888889,35.9902,-79.9938
 Highland, KS,2.1,40.4275,-111.7956
 Highland Heights, KY,3.325,39.0354,-84.4567
 Hillsboro, MO,5,45.5271,-122.9358
 Hillsboro, OH,2.35,45.5271,-122.9358
 Hoboken, NJ,3.5,40.7453,-74.0279
 Hoffman Estates, IL,5,42.0638,-88.1463
 Holland, MI,3.6125,42.7677,-86.0984
 Hollywood, FL,2.9,32.7523,-80.2107
 Holyoke, MA,3.05,42.2126,-72.6411
 Honolulu, HI,3.733333333,21.3294,-157.846
 Houghton, MI,3.15,47.1123,-88.5679
 Houston, TX,3.811377246,29.7868,-95.3905
 Hudson, NC,4.333333333,41.2399,-81.4408
 Huntington, WV,3.7,40.882,-85.5054
 Huntington Beach, CA,3.776923077,33.696,-118.0025
 Huntsville, AL,3.733333333,34.6989,-86.6414
 Huntsville, TX,4.009090909,34.6989,-86.6414
 Huron, OH,2.8,44.3622,-98.2102
 Hutchinson, KS,4.15,38.0671,-97.9081
 Imperial, CA,4.5,32.8375,-115.5719
 Independence, KS,5,44.8551,-123.1948
 Independence, MO,3.55,44.8551,-123.1948
 Indiana, PA,3.75,40.6219,-79.1552
 Indianapolis, IN,3.741666667,39.7771,-86.1458
 Inver Grove Heights, MN,4.55,44.8247,-93.0596
 Iola, KS,5,37.9273,-95.4006
 Iowa City, IA,4.133333333,41.6559,-91.5304
 Ironwood, MI,4,46.4522,-90.1505
 Irvine, CA,3.666666667,33.6772,-117.7738
 Irving, TX,3.416666667,32.8584,-96.9702
 Ithaca, NY,3.78,42.4442,-76.5032
 Jackson, MI,2.8,32.3163,-90.2124
 Jackson, MS,4.4,32.3163,-90.2124
 Jackson, TN,4.333333333,32.3163,-90.2124
 Jacksonville, AL,4.05,39.7292,-90.232
 Jacksonville, FL,3.769090909,39.7292,-90.232
 Jacksonville, NC,4.6,39.7292,-90.232
 Jamestown, NC,4.275,42.0975,-79.2366
 Jamestown, NY,4.9,42.0975,-79.2366
 Jefferson City, MO,2.6,38.5677,-92.1757
 Jefferson City, TN,4.1,38.5677,-92.1757
 Jersey City, NJ,3.883333333,40.7161,-74.0682
 Johnson City, TN,3.795238095,42.123,-75.9624
 Johnstown, PA,4.95,40.3499,-104.9479
 Joliet, IL,3.542857143,41.5193,-88.1501
 Jonesboro, AR,4.3,35.8212,-90.6795
 Joplin, MO,4.425,37.0766,-94.5016
 Juneau, AK,4.35,58.444,-134.1515
 Jupiter, FL,4,26.9199,-80.1127
 Kalamazoo, MI,3.844,42.2749,-85.5881
 Kalispell, MT,4.5,48.2155,-114.3262
 Kamloops, BC,3.316666667,50.6667,-120.3333
 Kansas City, KS,4.35,39.1234,-94.7443
 Kansas City, MO,3.464705882,39.1234,-94.7443
 Kearney, NE,3.633333333,39.3547,-94.3589
 Keene, NH,3.65,32.3955,-97.3226
 Kelowna, BC,4.033333333,49.9,-119.4833
 Kennesaw, GA,3.560606061,34.0262,-84.6177
 Kenosha, WI,3.96,42.5863,-87.8759
 Kent, OH,2.909090909,41.149,-81.361
 Kerrville, TX,5,30.0399,-99.1319
 Kilgore, TX,4.125,32.3979,-94.8603
 Killeen, TX,3.885714286,31.0754,-97.7293
 Kingman, AZ,3.55,35.217,-114.0105
 Kingston, ON,3.85,41.2652,-75.8875
 Kingston, RI,3.385,41.2652,-75.8875
 Kingstree, SC,3,33.6664,-79.8292
 Kingsville, TX,4.15,27.5095,-97.861
 Kinston, NC,3.1,35.2748,-77.5937
 Kirksville, MO,4.3,40.1986,-92.5753
 Kirtland, OH,3.728571429,41.5969,-81.3406
 Kissimmee, FL,3.829166667,28.3042,-81.4164
 Kitchener, ON,4.75,43.45,-80.5
 Klamath Falls, OR,2.766666667,42.2192,-121.7755
 Knoxville, TN,3.951219512,41.3188,-93.1024
 Kokomo, IN,4.5,40.464,-86.1277
 Kutztown, PA,3.88,40.5212,-75.7773
 La Crosse, WI,3.58,43.8241,-91.2268
 La Grande, OR,3.3,45.3243,-118.0865
 La Mirada, CA,4,33.9025,-118.0093
 La Plata, MD,3.675,38.5352,-76.9701
 La Verne, CA,2.9,34.1208,-117.7702
 Lafayette, LA,4.1,40.3991,-86.8594
 Laguna Beach, CA,4,33.5449,-117.7613
 Lake Charles, LA,3.142857143,30.203,-93.215
 Lake Forest, IL,3.8,42.238,-87.8596
 Lake Jackson, TX,3.3,29.0516,-95.4522
 Lake Worth, FL,4.111111111,26.6194,-80.059
 Lakeland, FL,3.73,35.2586,-89.7307
 Lakewood, CO,3.6,41.4824,-81.8008
 Lakewood, NJ,4.075,41.4824,-81.8008
 Lakewood, WA,3.82,41.4824,-81.8008
 Lancaster, CA,3.7125,34.7247,-80.7802
 Lancaster, PA,4.1,34.7247,-80.7802
 Lansing, MI,3.692592593,39.2427,-94.8952
 Laramie, WY,3.785714286,41.3099,-105.6086
 Laredo, TX,3.275,27.5616,-99.487
 Largo, MD,4.26,27.9088,-82.7713
